Day,Temperature_C,Humidity_Percent,Rainfall_mm,Wind_Speed_kmh
1,27.5,55.6,0,7.7
2,28.2,71.9,3.4,6.0
3,26.9,55.7,0,11.1
4,25.2,60.0,0,11.5
5,26.4,69.7,2.6,5.1
6,29.5,72.5,1.9,6.9
7,30.5,63.4,0,6.2
8,30.1,70.1,2.7,13.8
9,28.6,79.3,3.7,11.6
10,30.1,70.5,3.0,11.9
11,29.5,56.1,0,8.5
12,26.4,60.8,0,8.3
13,29.1,64.1,0,7.5
14,27.2,78.4,4.3,12.3
15,26.5,73.2,1.5,9.6
16,30.5,71.0,2.2,13.2
17,29.5,74.4,2.0,5.4
18,26.7,61.7,0,16.3
19,29.2,62.9,0.4,9.7
20,29.1,66.5,0.2,8.0
21,27.1,61.6,0,15.8
22,26.0,60.5,0.9,11.1
23,24.2,56.2,0,12.5
24,27.4,65.6,0,9.6
25,28.1,68.2,2.7,15.3
26,23.0,73.0,3.0,11.4
27,24.0,71.0,0.8,10.2
28,24.8,78.8,5.1,8.2
29,24.8,59.5,0.4,15.4
30,23.7,71.0,2.3,6.8
31,25.9,68.5,2.2,11.4
32,22.0,63.1,0,16.1
33,26.4,75.8,2.6,5.7
34,26.4,78.7,2.7,10.8
35,22.4,74.0,3.5,6.5
36,24.6,68.7,0.7,15.5
37,24.4,60.3,0,13.8
38,23.5,62.8,1.4,12.8
39,24.9,67.9,0.1,7.7
40,24.6,69.7,0.9,7.6
41,23.5,70.8,1.1,15.9
42,27.7,56.8,0,13.0
43,24.8,58.3,0.1,11.9
44,26.4,74.6,3.8,7.3
45,24.8,65.8,0.5,10.6
46,28.2,71.8,3.7,6.2
47,26.8,63.5,1.2,8.0
48,26.0,66.2,0.6,8.3
49,26.6,78.1,3.6,15.3
50,28.3,56.3,0,15.0
51,30.5,78.2,4.8,7.0
52,28.2,60.3,0,5.7
53,27.8,79.6,3.4,14.4
54,28.3,65.6,2.0,16.9
55,28.8,73.0,1.5,8.6
56,30.8,69.5,1.8,14.0
57,26.2,69.6,1.7,15.2
58,26.6,79.0,2.7,7.2
59,28.7,71.9,1.4,6.4
60,30.0,61.2,0,12.4
